,Distinction,Name,Location,Price,Cuisine
0,2 Star,Sushi Masaki Saito,"Toronto, Canada",$$$$,Japanese
1,2 Star,Xin Rong Ji,"Chengdu, China Mainland",¥¥¥¥,Taizhou
2,2 Star,Yu Zhi Lan,"Chengdu, China Mainland",¥¥¥¥,Sichuan
3,2 Star,Molino de Urdániz,"Taipei, Taiwan",$$$$,Spanish Contemporary
4,2 Star,RAW,"Taipei, Taiwan",$$$$,Innovative
5,2 Star,logy,"Taipei, Taiwan",$$$,Asian Contemporary
6,2 Star,Mudan,"Taipei, Taiwan",$$$$,Tempura
7,2 Star,L'Atelier de Joël Robuchon,"Taipei, Taiwan",$$$$,French Contemporary
8,2 Star,Sons & Daughters,"San Francisco, USA",$$$$,Contemporary
9,2 Star,Hayato,"Los Angeles, USA",$$$$,Japanese
10,2 Star,Birdsong,"San Francisco, USA",$$$$,Contemporary
11,2 Star,Vespertine,"Culver City, USA",$$$$,Contemporary
12,2 Star,Providence,"Hollywood, USA",$$$$,Seafood
13,2 Star,Aubergine,"Carmel-by-the-Sea, USA",$$$$,Contemporary
14,2 Star,Commis,"Oakland, USA",$$$$,Contemporary
15,2 Star,Acquerello,"San Francisco, USA",$$$$,Italian
16,2 Star,Mélisse,"Santa Monica, USA",$$$$,Modern French
17,2 Star,Lazy Bear,"San Francisco, USA",$$$$,Contemporary
18,2 Star,Californios,"San Francisco, USA",$$$$,Mexican
19,2 Star,Saison,"San Francisco, USA",$$$$,Californian
20,2 Star,Harbor House,"Elk, USA",$$$$,Californian
21,2 Star,Trèsind Studio,Dubai,$$$$,Indian
22,2 Star,STAY by Yannick Alléno,Dubai,$$$$,French
23,2 Star,Il Ristorante-Niko Romito,Dubai,$$$$,Italian
24,2 Star,Row on 45,Dubai,$$$$,Creative
25,2 Star,Agli Amici Rovinj,"Rovinj, Croatia",€€€€,Italian Contemporary
26,2 Star,Meta,Singapore,$$$,Innovative
27,2 Star,Jaan by Kirk Westaway,Singapore,$$$,British Contemporary
28,2 Star,Saint Pierre,Singapore,$$$$,French Contemporary
29,2 Star,Shoukouwa,Singapore,$$$$,Sushi
30,2 Star,Cloudstreet,Singapore,$$$$,Innovative
31,2 Star,Thevar,Singapore,$$$$,Innovative
32,2 Star,Bottiglieria 1881,"Krakow, Poland",€€€€,Creative
33,2 Star,Milka,"Kranjska Gora, Slovenia",€€€€,Creative
34,2 Star,Taian Table,"Guangzhou, China Mainland",¥¥¥¥,European Contemporary
35,2 Star,Jiang by Chef Fei,"Guangzhou, China Mainland",¥¥¥,Cantonese
36,2 Star,Imperial Treasure Fine Chinese Cuisine,"Guangzhou, China Mainland",¥¥¥,Cantonese
37,2 Star,Frederikshøj,"Aarhus, Denmark",€€€€,Creative
38,2 Star,Kadeau Copenhagen,"Copenhagen, Denmark",€€€€,Creative
39,2 Star,AIRA,"Stockholm, Sweden",€€€€,Modern Cuisine
40,2 Star,Kong Hans Kælder,"Copenhagen, Denmark",€€€€,Modern French
41,2 Star,Vollmers,"Malmo, Sweden",€€€€,Contemporary
42,2 Star,Kontrast,"Oslo, Norway",€€€€,Scandinavian
43,2 Star,Palace,"Helsinki, Finland",€€€€,Modern Cuisine
44,2 Star,Henne Kirkeby Kro,"Henne, Denmark",€€€€,Classic Cuisine
45,2 Star,Koan,"Copenhagen, Denmark",€€€€,Creative
46,2 Star,Aloë,"Stockholm, Sweden",€€€€,Creative
47,2 Star,Alchemist,"Copenhagen, Denmark",€€€€,Innovative
48,2 Star,a|o|c,"Copenhagen, Denmark",€€€€,Modern Cuisine
49,2 Star,VYN,"Simrishamn, Sweden",€€€€,Creative
50,2 Star,180° by Matthias Diether,"Tallinn, Estonia",€€€€,Creative
51,2 Star,Oro,"Rio de Janeiro, Brazil",$$$$,Creative
52,2 Star,D.O.M.,"São Paulo, Brazil",$$$$,Creative
53,2 Star,Evvai,"São Paulo, Brazil",$$$$,Modern Cuisine
54,2 Star,Tuju,"São Paulo, Brazil",$$$$,Creative
55,2 Star,Oteque,"Rio de Janeiro, Brazil",$$$$,Modern Cuisine
56,2 Star,Lasai,"Rio de Janeiro, Brazil",$$$$,Modern Cuisine
57,2 Star,Pujol,"Miguel Hildalgo, Mexico",$$$$,Mexican
58,2 Star,Quintonil,"Miguel Hildalgo, Mexico",$$$$,Contemporary
59,2 Star,Oryori Hanagaki,"Nara, Japan",¥¥¥,Japanese
60,2 Star,Tsukumo,"Nara, Japan",¥¥¥,Japanese
61,2 Star,NARA NIKON,"Nara, Japan",¥¥¥,Japanese
62,2 Star,akordu,"Nara, Japan",¥¥¥,Innovative
63,2 Star,L'Atelier de Joël Robuchon Miami,"Miami, USA",$$$$,French
64,2 Star,Koryu,"Osaka, Japan",¥¥¥¥,Japanese
65,2 Star,Tenjimbashi Aoki,"Osaka, Japan",¥¥¥¥,Japanese
66,2 Star,Gion Maruyama,"Kyoto, Japan",¥¥¥¥,Japanese
67,2 Star,Miyamoto,"Osaka, Japan",¥¥¥,Japanese
68,2 Star,Sojiki Nakahigashi,"Kyoto, Japan",¥¥¥,Japanese
69,2 Star,La Cime,"Osaka, Japan",¥¥¥¥,French
70,2 Star,Fujiya 1935,"Osaka, Japan",¥¥¥¥,Innovative
71,2 Star,Ryō-shō,"Kyoto, Japan",¥¥¥¥,Japanese
72,2 Star,Wagokoro Izumi,"Kyoto, Japan",¥¥¥,Japanese
73,2 Star,Gion Matayoshi,"Kyoto, Japan",¥¥¥¥,Japanese
74,2 Star,Yusokuryori Mankamero,"Kyoto, Japan",¥¥¥¥,Japanese
75,2 Star,VELROSIER,"Kyoto, Japan",¥¥¥,Chinese
76,2 Star,Ogata,"Kyoto, Japan",¥¥¥¥,Japanese
77,2 Star,Sushi Harasho,"Osaka, Japan",¥¥¥,Sushi
78,2 Star,Gion Nishikawa,"Kyoto, Japan",¥¥¥¥,Japanese
79,2 Star,Shimmonzen Yonemura,"Kyoto, Japan",¥¥¥,Innovative
80,2 Star,Kyokaiseki Kichisen,"Kyoto, Japan",¥¥¥¥,Japanese
81,2 Star,Yugen,"Osaka, Japan",¥¥¥,Japanese
82,2 Star,Otagi,"Kyoto, Japan",¥¥¥¥,Japanese
83,2 Star,Shunsaiten Tsuchiya,"Osaka, Japan",¥¥¥,Tempura
84,2 Star,Miyamaso,"Kyoto, Japan",¥¥¥,Japanese
85,2 Star,Kikunoi Roan,"Kyoto, Japan",¥¥¥,Japanese
86,2 Star,KAHALA,"Osaka, Japan",¥¥¥¥,Innovative
87,2 Star,Kenninji Gion Maruyama,"Kyoto, Japan",¥¥¥¥,Japanese
88,2 Star,Numata,"Osaka, Japan",¥¥¥¥,Tempura
89,2 Star,Sumibi Kappo Ifuki,"Kyoto, Japan",¥¥¥¥,Japanese
90,2 Star,Kodaiji Wakuden,"Kyoto, Japan",¥¥¥¥,Japanese
91,2 Star,ION Harbour by Simon Rogan,"Valletta, Malta",€€€€,Mediterranean Cuisine
92,2 Star,Lafleur,"Frankfurt on the Main, Germany",€€€€,Modern French
93,2 Star,IKIGAI,"Krün, Germany",€€€€,Modern Cuisine
94,2 Star,Lakeside,"Hamburg, Germany",€€€€,Modern Cuisine
95,2 Star,Ox & Klee,"Cologne, Germany",€€€€,Modern Cuisine
96,2 Star,Ösch Noir,"Donaueschingen, Germany",€€€€,Modern Cuisine
97,2 Star,Courtier,"Weissenhaus, Germany",€€€€,Creative
98,2 Star,AURA by Alexander Herrmann & Tobias Bätz,"Wirsberg, Germany",€€€€,Creative
99,2 Star,Mühle,"Schluchsee, Germany",€€€€,Modern French
100,2 Star,PUR,"Berchtesgaden, Germany",€€€€,Modern Cuisine
101,2 Star,Meierei Dirk Luther,"Glücksburg, Germany",€€€€,Classic Cuisine
102,2 Star,Ophelia,"Constance, Germany",€€€€,Creative French
103,2 Star,Haerlin,"Hamburg, Germany",€€€€,Creative French
104,2 Star,etz,"Nuremberg, Germany",€€€€,Creative
105,2 Star,Tim Raue,"Berlin, Germany",€€€€,Asian
106,2 Star,Lorenz Adlon Esszimmer,"Berlin, Germany",€€€€,Creative
107,2 Star,CODA Dessert Dining,"Berlin, Germany",€€€€,Creative
108,2 Star,Jante,"Hanover, Germany",€€€€,Creative
109,2 Star,Le Cerf,"Zweiflingen, Germany",€€€€,Classic French
110,2 Star,bianc,"Hamburg, Germany",€€€€,Mediterranean Cuisine
111,2 Star,100/200 Kitchen,"Hamburg, Germany",€€€€,Creative
112,2 Star,FACIL,"Berlin, Germany",€€€€,Creative
113,2 Star,Tohru in der Schreiberei,"Munich, Germany",€€€€,Modern Cuisine
114,2 Star,Tantris,"Munich, Germany",€€€€,French Contemporary
115,2 Star,L.A. Jordan,"Deidesheim, Germany",€€€€,Creative
116,2 Star,Horváth,"Berlin, Germany",€€€€,Creative
117,2 Star,Votum,"Hanover, Germany",€€€€,Creative
118,2 Star,Coeur D'Artichaut,"Münster, Germany",€€€€,Modern French
119,2 Star,Atelier,"Munich, Germany",€€€€,Creative French
120,2 Star,ammolite - The Lighthouse Restaurant,"Rust, Germany",€€€€,Modern Cuisine
121,2 Star,GästeHaus Klaus Erfort,"Saarbrücken, Germany",€€€€,Classic French
122,2 Star,Esplanade,"Saarbrücken, Germany",€€€€,Classic Cuisine
123,2 Star,Essigbrätlein,"Nuremberg, Germany",€€€€,Innovative
124,2 Star,KOMU,"Munich, Germany",€€€€,Classic Cuisine
125,2 Star,Obendorfers Eisvogel,"Neunburg vorm Wald, Germany",€€€€,Creative
126,2 Star,Vendôme,"Bergisch Gladbach, Germany",€€€€,Creative
127,2 Star,OPUS V,"Mannheim, Germany",€€€€,Modern Cuisine
128,2 Star,Speisemeisterei,"Stuttgart, Germany",€€€€,Creative
129,2 Star,Söl'ring Hof,"Rantum, Germany",€€€€,Modern Cuisine
130,2 Star,EssZimmer,"Munich, Germany",€€€€,Modern French
131,2 Star,Steinheuers Restaurant Zur Alten Post,"Bad Neuenahr-Ahrweiler, Germany",€€€€,Classic French
132,2 Star,sein,"Karlsruhe, Germany",€€€€,Modern Cuisine
133,2 Star,Gourmetrestaurant Dichter,"Rottach-Egern, Germany",€€€€,Creative French
134,2 Star,AUGUST,"Augsburg, Germany",€€€€,Creative
135,2 Star,Le Pavillon,"Bad Peterstal, Germany",€€€€,Classic French
136,2 Star,Hirschen,"Sulzburg, Germany",€€€€,Creative
137,2 Star,LOUIS restaurant,"Saarlouis, Germany",€€€€,Creative
138,2 Star,Alois - Dallmayr Fine Dining,"Munich, Germany",€€€€,Creative
139,2 Star,Maison Ruggieri,"Paris, France",€€€€,Modern Cuisine
140,2 Star,Sylvestre Wahid - Les Grandes Alpes,"Courchevel, France",€€€€,Creative
141,2 Star,La Table des Amis by Christophe Bacquié,"Bonnieux, France",€€€€,Modern Cuisine
142,2 Star,La Voile - La Réserve Ramatuelle,"Ramatuelle, France",€€€€,Modern Cuisine
143,2 Star,Les Ambassadeurs by Christophe Cussac,"Monaco, France",€€€€,Modern Cuisine
144,2 Star,L'Abysse au Pavillon Ledoyen,"Paris, France",€€€€,Japanese
145,2 Star,Anne de Bretagne,"La Plaine-sur-Mer, France",€€€€,Creative
146,2 Star,Le Clarence,"Paris, France",€€€€,Creative
147,2 Star,La Scène,"Paris, France",€€€€,Modern Cuisine
148,2 Star,La Table Lionel Giraud,"Narbonne, France",€€€€,Creative
149,2 Star,L'Auberge des Glazicks,"Plomodiern, France",€€€€,Creative
150,2 Star,Flaveur,"Nice, France",€€€€,Creative
151,2 Star,L'Oiseau Blanc,"Paris, France",€€€€,Creative
152,2 Star,Duende,"Nîmes, France",€€€€,Modern Cuisine
153,2 Star,Restaurant Le Meurice Alain Ducasse,"Paris, France",€€€€,Creative
154,2 Star,La Grenouillère,"La Madelaine-sous-Montreuil, France",€€€€,Creative
155,2 Star,Lalique,"Bommes, France",€€€€,Modern Cuisine
156,2 Star,La Côte d'Or,"Saulieu, France",€€€€,Modern Cuisine
157,2 Star,Racine,"Reims, France",€€€€,Creative
158,2 Star,Maison Aribert,"Uriage-les-Bains, France",€€€€,Creative
159,2 Star,La Fourchette des Ducs,"Obernai, France",€€€€,Modern Cuisine
160,2 Star,Michel Kayser - Restaurant Alexandre,"Garons, France",€€€€,Modern Cuisine
161,2 Star,Py-r,"Toulouse, France",€€€€,Creative
162,2 Star,Marsan par Hélène Darroze,"Paris, France",€€€€,Modern Cuisine
163,2 Star,Le Jules Verne,"Paris, France",€€€€,Modern Cuisine
164,2 Star,David Toutain,"Paris, France",€€€€,Creative
165,2 Star,Le Puits Saint Jacques,"Pujaudran, France",€€€€,Modern Cuisine
166,2 Star,Auberge de l'Ill,"Illhaeusern, France",€€€€,Classic Cuisine
167,2 Star,La Table d'Olivier Nasti,"Kaysersberg, France",€€€€,Creative
168,2 Star,JY'S,"Colmar, France",€€€€,Creative
169,2 Star,Serge Vieira,"Chaudes-Aigues, France",€€€€,Creative
170,2 Star,Le Pressoir d'Argent - Gordon Ramsay,"Bordeaux, France",€€€€,Modern Cuisine
171,2 Star,Château de Beaulieu - Christophe Dufossé,"Busnes, France",€€€€,Modern Cuisine
172,2 Star,Le Grand Restaurant - Jean-François Piège,"Paris, France",€€€€,Creative
173,2 Star,La Côte Saint-Jacques,"Joigny, France",€€€€,Modern Cuisine
174,2 Star,Guy Savoy,"Paris, France",€€€€,Modern Cuisine
175,2 Star,L'Orangerie,"Paris, France",€€€€,Modern Cuisine
176,2 Star,Table - Bruno Verjus,"Paris, France",€€€€,Modern Cuisine
177,2 Star,Jean Sulpice,"Talloires-Montmin, France",€€€€,Creative
178,2 Star,La Grand'Vigne - Les Sources de Caudalie,"Martillac, France",€€€€,Modern Cuisine
179,2 Star,Le Pré - Xavier Beaudiment,"Clermont-Ferrand, France",€€€€,Creative
180,2 Star,Bras,"Laguiole, France",€€€€,Creative
181,2 Star,L'Auberge de Montmin,"Talloires-Montmin, France",€€€€,Creative
182,2 Star,Le Taillevent,"Paris, France",€€€€,Classic Cuisine
183,2 Star,La Merise,"Laubach, France",€€€€,Modern Cuisine
184,2 Star,Palais Royal Restaurant,"Paris, France",€€€€,Creative
185,2 Star,Les Morainières,"Jongieux, France",€€€€,Creative
186,2 Star,Cédric Burtin,"Saint-Rémy, France",€€€€,Creative
187,2 Star,Villa René Lalique,"Wingen-sur-Moder, France",€€€€,Creative
188,2 Star,Le Sarkara,"Courchevel, France",€€€€,Creative
189,2 Star,René et Maxime Meilleur,"Saint-Martin-de-Belleville, France",€€€€,Creative
190,2 Star,Le Parc Les Crayères,"Reims, France",€€€€,Creative
191,2 Star,Le Skiff Club,"Pyla-sur-Mer, France",€€€€,Modern Cuisine
192,2 Star,Blue Bay Marcel Ravin,"Monaco, France",€€€€,Creative
193,2 Star,Takao Takano,"Lyon, France",€€€€,Creative
194,2 Star,La Table de Pavie,"Saint-Emilion, France",€€€€,Creative
195,2 Star,Maison Ronan Kervarrec,"Saint-Grégoire, France",€€€€,Modern Cuisine
196,2 Star,Paul Bocuse,"Collonges-au-Mont-d'Or, France",€€€€,Classic Cuisine
197,2 Star,La Chèvre d'Or,"Èze, France",€€€€,Creative
198,2 Star,Relais de la Poste,"Magescq, France",€€€€,Classic Cuisine
199,2 Star,Mère Brazier,"Lyon, France",€€€€,Classic Cuisine
200,2 Star,Christopher Coutanceau,"La Rochelle, France",€€€€,Seafood
201,2 Star,Maison Rostang,"Paris, France",€€€€,Classic Cuisine
202,2 Star,Le Neuvième Art,"Lyon, France",€€€€,Creative
203,2 Star,William Frachot,"Dijon, France",€€€€,Creative
204,2 Star,Cyril Attrazic,"Aumont-Aubrac, France",€€€€,Creative
205,2 Star,Le Chabichou by Stéphane Buron,"Courchevel, France",€€€€,Modern Cuisine
206,2 Star,La Table de Franck Putelat,"Carcassonne, France",€€€€,Modern Cuisine
207,2 Star,Christophe Hay - Fleur de Loire,"Blois, France",€€€€,Modern Cuisine
208,2 Star,Le Coquillage,"Saint-Méloir-des-Ondes, France",€€€€,Seafood
209,2 Star,La Table de Yoann Conte,"Veyrier-du-Lac, France",€€€€,Creative
210,2 Star,Maison Benoît Vidal,"Annecy, France",€€€€,Creative
211,2 Star,Casadelmar,"Porto-Vecchio, France",€€€€,Modern Cuisine
212,2 Star,La Villa Archange,"Le Cannet, France",€€€€,Modern Cuisine
213,2 Star,La Pyramide - Maison Henriroux,"Vienne, France",€€€€,Modern Cuisine
214,2 Star,Rùn,"Hong Kong, Hong Kong SAR China",$$$,Cantonese
215,2 Star,The Eight,Macau,$$$$,Cantonese
216,2 Star,Amber,"Hong Kong, Hong Kong SAR China",$$$$,French Contemporary
217,2 Star,L'Envol,"Hong Kong, Hong Kong SAR China",$$$$,French Contemporary
218,2 Star,Feng Wei Ju,Macau,$$,Hunanese
219,2 Star,Tin Lung Heen,"Hong Kong, Hong Kong SAR China",$$$,Cantonese
220,2 Star,Tate,"Hong Kong, Hong Kong SAR China",$$$$,Innovative
221,2 Star,Ying Jee Club,"Hong Kong, Hong Kong SAR China",$$$,Cantonese
222,2 Star,The Huaiyang Garden,Macau,$$$,Huaiyang
223,2 Star,Lung King Heen,"Hong Kong, Hong Kong SAR China",$$$,Cantonese
224,2 Star,Alain Ducasse at Morpheus,Macau,$$$$,French Contemporary
225,2 Star,Bo Innovation,"Hong Kong, Hong Kong SAR China",$$$,Innovative
226,2 Star,Noi by Paulo Airaudo,"Hong Kong, Hong Kong SAR China",$$$$,Italian Contemporary
227,2 Star,Wing Lei,Macau,$$$,Cantonese
228,2 Star,Lai Ching Heen,"Hong Kong, Hong Kong SAR China",$$$,Cantonese
229,2 Star,Arbor,"Hong Kong, Hong Kong SAR China",$$$$,Innovative
230,2 Star,Mizumi (Macau),Macau,$$$$,Japanese
231,2 Star,Octavium,"Hong Kong, Hong Kong SAR China",$$$$,Italian
232,2 Star,The Yeatman,"Vila Nova de Gaia, Portugal",€€€€,Creative
233,2 Star,Vila Joya,"Albufeira, Portugal",€€€€,Modern Cuisine
234,2 Star,Antiqvvm,"Porto, Portugal",€€€€,Creative
235,2 Star,Ocean,"Porches, Portugal",€€€€,Creative
236,2 Star,Alma,"Lisbon, Portugal",€€€€,Creative
237,2 Star,Belcanto,"Lisbon, Portugal",€€€€,Creative
238,2 Star,Casa de Chá da Boa Nova,"Leça da Palmeira, Portugal",€€€€,Seafood
239,2 Star,Il Gallo d'Oro,"Funchal, Portugal",€€€€,Modern Cuisine
240,2 Star,Ma Langue Sourit,"Oetrange, Luxembourg",€€€€,Modern Cuisine
241,2 Star,L'Eau Vive,"Arbre, Belgium",€€€€,Modern French
242,2 Star,Hertog Jan at Botanic,"Antwerpen, Belgium",€€€€,Creative
243,2 Star,Colette - De Vijvers,"Averbode, Belgium",€€€€,Modern French
